topology,trial,initial_infected,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
BA,0,1,4.0,7.0,725,0.993,19644.5,True,True,170
BA,0,5,4.0,7.0,737,0.995,19856.5,True,True,161
BA,0,10,3.0,7.0,697,0.989,19607.0,True,True,184
BA,1,1,5.0,8.0,727,0.993,20385.5,True,True,198
BA,1,5,6.0,9.0,712,0.993,18225.5,True,True,238
BA,1,10,4.0,7.0,745,0.997,20630.0,True,True,157
BA,2,1,6.0,10.0,737,0.997,20151.5,True,True,142
BA,2,5,6.0,9.0,783,0.999,20406.5,True,True,153
BA,2,10,4.0,7.0,741,0.998,20356.0,True,True,183
BA,3,1,9.0,12.0,760,0.997,19338.5,True,True,168
BA,3,5,5.0,8.0,706,0.993,18718.5,True,True,132
BA,3,10,3.0,6.0,727,0.993,19598.0,True,True,128
BA,4,1,9.0,12.0,723,0.996,18921.5,True,True,155
BA,4,5,5.0,8.0,745,0.996,19445.5,True,True,129
BA,4,10,4.0,6.0,739,0.994,20502.0,True,True,152
BA,5,1,8.0,11.0,733,0.995,20475.5,True,True,167
BA,5,5,4.0,7.0,725,0.994,20245.5,True,True,168
BA,5,10,3.0,6.0,712,0.994,20015.0,True,True,195
BA,6,1,9.0,12.0,734,0.992,19141.5,True,True,186
BA,6,5,4.0,8.0,740,0.993,20090.5,True,True,203
BA,6,10,4.0,7.0,705,0.995,18943.0,True,True,196
BA,7,1,5.0,9.0,700,0.995,19716.5,True,True,161
BA,7,5,4.0,7.0,743,0.992,20043.5,True,True,144
BA,7,10,4.0,7.0,759,0.995,20005.0,True,True,150
BA,8,1,6.0,9.0,723,0.993,19804.5,True,True,146
BA,8,5,4.0,7.0,746,0.997,20390.5,True,True,170
BA,8,10,3.0,6.0,748,0.995,19340.0,True,True,152
BA,9,1,7.0,10.0,736,0.993,19983.5,True,True,190
BA,9,5,3.0,6.0,745,0.994,19634.5,True,True,162
BA,9,10,3.0,6.0,738,0.995,19126.0,True,True,158
BA,10,1,5.0,8.0,726,0.993,19777.5,True,True,143
BA,10,5,4.0,7.0,728,0.994,19718.5,True,True,143
BA,10,10,3.0,6.0,736,1.0,20098.0,True,True,212
BA,11,1,10.0,13.0,774,0.997,19902.5,True,True,155
BA,11,5,5.0,8.0,761,0.999,19264.5,True,True,132
BA,11,10,5.0,8.0,749,0.999,20233.0,True,True,200
BA,12,1,6.0,9.0,734,0.998,20299.5,True,True,173
BA,12,5,6.0,9.0,722,0.992,19969.5,True,True,129
BA,12,10,3.0,6.0,768,0.997,19886.0,True,True,123
BA,13,1,6.0,9.0,731,0.996,19650.5,True,True,131
BA,13,5,5.0,8.0,741,0.997,19802.5,True,True,134
BA,13,10,3.0,6.0,742,0.995,19585.0,True,True,179
BA,14,1,5.0,7.0,740,0.993,20031.5,True,True,182
BA,14,5,4.0,7.0,718,0.993,19687.5,True,True,145
BA,14,10,4.0,7.0,730,0.994,20119.0,True,True,126
BA,15,1,10.0,13.0,719,0.991,20361.5,True,True,147
BA,15,5,5.0,8.0,747,0.999,20977.5,True,True,134
BA,15,10,4.0,8.0,734,0.995,19547.0,True,True,122
BA,16,1,6.0,9.0,740,0.994,20143.5,True,True,157
BA,16,5,5.0,8.0,712,0.994,20144.5,True,True,156
BA,16,10,4.0,7.0,711,0.997,19738.0,True,True,198
BA,17,1,7.0,10.0,720,0.991,19938.5,True,True,209
BA,17,5,5.0,9.0,741,0.997,20425.5,True,True,146
BA,17,10,4.0,7.0,764,0.994,20330.0,True,True,159
BA,18,1,10.0,13.0,710,0.994,19508.5,True,True,159
BA,18,5,4.0,7.0,716,0.997,19971.5,True,True,187
BA,18,10,3.0,7.0,730,0.995,20339.0,True,True,207
BA,19,1,5.0,8.0,758,0.994,20626.5,True,True,151
BA,19,5,4.0,7.0,746,0.999,20648.5,True,True,143
BA,19,10,4.0,7.0,717,0.995,19827.0,True,True,127
BA,20,1,9.0,13.0,723,0.994,18783.5,True,True,167
BA,20,5,5.0,8.0,744,0.997,19180.5,True,True,193
BA,20,10,3.0,6.0,751,0.998,20348.0,True,True,151
BA,21,1,5.0,8.0,743,0.992,18958.5,True,True,128
BA,21,5,4.0,7.0,740,0.993,19208.5,True,True,128
BA,21,10,4.0,7.0,738,0.988,19733.0,True,True,127
BA,22,1,6.0,9.0,723,0.987,20368.5,True,True,175
BA,22,5,4.0,6.0,767,0.999,20919.5,True,True,164
BA,22,10,3.0,6.0,751,0.996,20796.0,True,True,146
BA,23,1,6.0,9.0,738,0.995,19394.5,True,True,165
BA,23,5,5.0,8.0,738,0.997,19913.5,True,True,178
BA,23,10,4.0,7.0,713,0.995,19614.0,True,True,173
BA,24,1,6.0,9.0,744,0.991,20002.5,True,True,138
BA,24,5,3.0,6.0,737,0.994,19893.5,True,True,139
BA,24,10,3.0,7.0,748,0.996,19912.0,True,True,147
BA,25,1,6.0,9.0,745,0.995,21035.5,True,True,206
BA,25,5,4.0,7.0,735,0.995,20875.5,True,True,148
BA,25,10,3.0,6.0,763,0.998,20321.0,True,True,154
BA,26,1,6.0,10.0,738,0.994,18807.5,True,True,160
BA,26,5,4.0,7.0,741,0.998,19700.5,True,True,148
BA,26,10,4.0,7.0,771,0.994,19278.0,True,True,161
BA,27,1,6.0,10.0,717,0.991,20331.5,True,True,150
BA,27,5,4.0,7.0,732,0.992,20397.5,True,True,147
BA,27,10,4.0,7.0,719,0.988,18590.0,True,True,145
BA,28,1,6.0,9.0,712,0.991,18955.5,True,True,161
BA,28,5,3.0,6.0,741,0.994,19267.5,True,True,125
BA,28,10,3.0,6.0,749,0.996,18943.0,True,True,184
BA,29,1,5.0,8.0,760,0.997,20309.5,True,True,153
BA,29,5,6.0,9.0,740,0.991,19886.5,True,True,143
BA,29,10,4.0,7.0,737,0.995,20118.0,True,True,133
BA,30,1,7.0,10.0,732,0.998,19255.5,True,True,149
BA,30,5,5.0,7.0,730,0.994,20070.5,True,True,154
BA,30,10,3.0,6.0,756,0.996,19082.0,True,True,169
BA,31,1,7.0,10.0,721,0.99,19587.5,True,True,210
BA,31,5,4.0,7.0,734,0.997,19517.5,True,True,207
BA,31,10,4.0,7.0,741,0.993,19788.0,True,True,155
BA,32,1,6.0,10.0,748,0.995,20284.5,True,True,163
BA,32,5,4.0,7.0,749,0.994,20192.5,True,True,168
BA,32,10,3.0,7.0,746,0.993,19301.0,True,True,154
BA,33,1,5.0,8.0,751,0.997,20710.5,True,True,146
BA,33,5,4.0,7.0,777,0.997,20873.5,True,True,143
BA,33,10,4.0,7.0,739,0.997,20264.0,True,True,153
BA,34,1,11.0,14.0,740,0.995,19089.5,True,True,162
BA,34,5,5.0,8.0,718,0.99,18870.5,True,True,118
BA,34,10,5.0,8.0,731,0.998,19483.0,True,True,116
BA,35,1,,,1,0.002,4.5,False,False,6
BA,35,5,5.0,8.0,782,0.992,20091.5,True,True,190
BA,35,10,5.0,8.0,745,0.997,19308.0,True,True,148
BA,36,1,6.0,9.0,718,0.994,19846.5,True,True,171
BA,36,5,3.0,6.0,744,1.0,20216.5,True,True,188
BA,36,10,4.0,7.0,717,0.995,18191.0,True,True,147
BA,37,1,8.0,12.0,744,0.996,20350.5,True,True,205
BA,37,5,6.0,8.0,735,0.995,20561.5,True,True,145
BA,37,10,5.0,9.0,721,0.99,19704.0,True,True,175
BA,38,1,7.0,10.0,746,0.996,20879.5,True,True,165
BA,38,5,4.0,7.0,721,0.994,20850.5,True,True,188
BA,38,10,4.0,7.0,745,0.997,19447.0,True,True,228
BA,39,1,9.0,12.0,733,0.991,20190.5,True,True,144
BA,39,5,5.0,8.0,738,0.99,20141.5,True,True,144
BA,39,10,3.0,6.0,744,0.994,20910.0,True,True,140
BA,40,1,5.0,8.0,750,0.996,20756.5,True,True,157
BA,40,5,5.0,8.0,763,0.995,20792.5,True,True,135
BA,40,10,4.0,7.0,744,0.995,20747.0,True,True,158
BA,41,1,5.0,9.0,743,0.997,19647.5,True,True,127
BA,41,5,4.0,8.0,726,0.995,19635.5,True,True,167
BA,41,10,4.0,7.0,771,0.996,19917.0,True,True,142
BA,42,1,12.0,15.0,762,0.993,18521.5,True,True,149
BA,42,5,5.0,8.0,742,0.999,18182.5,True,True,194
BA,42,10,4.0,8.0,748,0.997,19676.0,True,True,143
BA,43,1,4.0,7.0,724,0.995,19997.5,True,True,121
BA,43,5,4.0,8.0,739,0.992,19746.5,True,True,116
BA,43,10,4.0,7.0,738,0.994,20906.0,True,True,213
BA,44,1,10.0,13.0,737,0.996,18951.5,True,True,123
BA,44,5,5.0,8.0,753,0.997,19240.5,True,True,146
BA,44,10,3.0,7.0,752,0.991,19995.0,True,True,158
BA,45,1,18.0,21.0,720,0.996,19639.5,True,True,160
BA,45,5,5.0,8.0,708,0.991,19373.5,True,True,167
BA,45,10,4.0,7.0,744,0.989,19874.0,True,True,156
BA,46,1,11.0,15.0,746,0.994,21066.5,True,True,137
BA,46,5,5.0,9.0,755,0.992,21357.5,True,True,204
BA,46,10,4.0,7.0,736,0.995,19692.0,True,True,134
BA,47,1,6.0,9.0,746,0.996,20093.5,True,True,122
BA,47,5,5.0,8.0,715,0.995,19908.5,True,True,131
BA,47,10,3.0,7.0,736,0.995,20641.0,True,True,154
BA,48,1,18.0,21.0,756,0.998,19976.5,True,True,136
BA,48,5,5.0,8.0,756,0.998,20132.5,True,True,135
BA,48,10,4.0,7.0,739,0.995,20178.0,True,True,134
BA,49,1,9.0,12.0,758,0.995,20077.5,True,True,139
BA,49,5,5.0,8.0,708,0.997,19807.5,True,True,161
BA,49,10,4.0,7.0,730,0.996,19859.0,True,True,148
ER,0,1,13.0,17.0,753,0.993,20822.5,True,True,215
ER,0,5,7.0,12.0,749,0.991,20342.5,True,True,170
ER,0,10,6.0,10.0,721,0.985,20391.0,True,True,176
ER,1,1,9.0,13.0,693,0.988,19959.5,True,True,172
ER,1,5,5.0,10.0,720,0.987,19978.5,True,True,190
ER,1,10,5.0,9.0,717,0.992,19600.0,True,True,181
ER,2,1,8.0,13.0,734,0.992,20664.5,True,True,161
ER,2,5,5.0,9.0,735,0.992,20713.5,True,True,167
ER,2,10,5.0,9.0,700,0.99,19515.0,True,True,152
ER,3,1,12.0,16.0,746,0.988,19266.5,True,True,242
ER,3,5,7.0,11.0,755,0.995,20058.5,True,True,174
ER,3,10,5.0,9.0,732,0.991,20317.0,True,True,137
ER,4,1,8.0,12.0,730,0.99,19455.5,True,True,165
ER,4,5,5.0,10.0,736,0.991,19670.5,True,True,167
ER,4,10,4.0,9.0,738,0.991,19466.0,True,True,175
ER,5,1,8.0,12.0,751,0.994,20007.5,True,True,129
ER,5,5,7.0,11.0,766,0.992,19677.5,True,True,125
ER,5,10,4.0,9.0,725,0.99,19837.0,True,True,165
ER,6,1,8.0,12.0,723,0.986,19020.5,True,True,134
ER,6,5,6.0,11.0,762,0.987,19210.5,True,True,143
ER,6,10,6.0,10.0,699,0.988,20204.0,True,True,174
ER,7,1,10.0,14.0,764,0.993,20639.5,True,True,138
ER,7,5,7.0,11.0,736,0.989,20568.5,True,True,202
ER,7,10,5.0,9.0,708,0.99,18929.0,True,True,181
ER,8,1,8.0,12.0,690,0.985,19887.5,True,True,171
ER,8,5,5.0,10.0,697,0.987,19660.5,True,True,168
ER,8,10,4.0,8.0,713,0.986,19810.0,True,True,139
ER,9,1,11.0,15.0,736,0.996,19373.5,True,True,134
ER,9,5,6.0,10.0,738,0.994,19071.5,True,True,127
ER,9,10,5.0,8.0,759,0.99,20179.0,True,True,161
ER,10,1,10.0,14.0,746,0.995,19663.5,True,True,151
ER,10,5,5.0,10.0,731,0.991,19572.5,True,True,162
ER,10,10,5.0,9.0,750,0.989,19635.0,True,True,132
ER,11,1,9.0,13.0,740,0.988,20031.5,True,True,166
ER,11,5,6.0,10.0,747,0.992,19800.5,True,True,115
ER,11,10,4.0,8.0,753,0.989,20008.0,True,True,124
ER,12,1,16.0,20.0,729,0.993,21056.5,True,True,208
ER,12,5,6.0,11.0,714,0.991,20305.5,True,True,244
ER,12,10,4.0,9.0,700,0.993,19230.0,True,True,186
ER,13,1,,,1,0.001,0.5,False,False,2
ER,13,5,4.0,9.0,708,0.987,18809.5,True,True,117
ER,13,10,4.0,8.0,720,0.991,21140.0,True,True,137
ER,14,1,9.0,14.0,741,0.994,20105.5,True,True,141
ER,14,5,5.0,10.0,735,0.996,20159.5,True,True,152
ER,14,10,5.0,9.0,747,0.997,20642.0,True,True,152
ER,15,1,9.0,12.0,757,0.989,19171.5,True,True,194
ER,15,5,6.0,10.0,742,0.987,19074.5,True,True,163
ER,15,10,5.0,9.0,733,0.989,20157.0,True,True,135
ER,16,1,11.0,15.0,738,0.99,19738.5,True,True,146
ER,16,5,6.0,10.0,745,0.99,20059.5,True,True,160
ER,16,10,4.0,8.0,730,0.988,20530.0,True,True,154
ER,17,1,11.0,15.0,723,0.99,20762.5,True,True,156
ER,17,5,6.0,10.0,726,0.989,20355.5,True,True,162
ER,17,10,5.0,10.0,744,0.99,19627.0,True,True,159
ER,18,1,10.0,14.0,725,0.986,19574.5,True,True,159
ER,18,5,6.0,11.0,724,0.992,19774.5,True,True,134
ER,18,10,5.0,9.0,726,0.992,19794.0,True,True,210
ER,19,1,11.0,15.0,719,0.987,19435.5,True,True,163
ER,19,5,6.0,9.0,740,0.986,19800.5,True,True,151
ER,19,10,4.0,8.0,736,0.987,19763.0,True,True,176
ER,20,1,10.0,15.0,722,0.987,20201.5,True,True,150
ER,20,5,6.0,10.0,724,0.99,20022.5,True,True,150
ER,20,10,5.0,9.0,721,0.984,19906.0,True,True,187
ER,21,1,12.0,16.0,740,0.984,19822.5,True,True,144
ER,21,5,7.0,12.0,704,0.981,19414.5,True,True,145
ER,21,10,5.0,9.0,718,0.983,19733.0,True,True,127
ER,22,1,7.0,11.0,740,0.988,18752.5,True,True,122
ER,22,5,6.0,11.0,752,0.994,19409.5,True,True,175
ER,22,10,5.0,9.0,753,0.989,19930.0,True,True,154
ER,23,1,8.0,12.0,734,0.991,19791.5,True,True,145
ER,23,5,5.0,9.0,752,0.991,19665.5,True,True,187
ER,23,10,4.0,8.0,730,0.995,19199.0,True,True,147
ER,24,1,10.0,14.0,724,0.992,19354.5,True,True,129
