topology,trial,initial_infected,t10,t50,peak_infected,final_size,auc,reached_10,reached_50,duration
ER,24,5,6.0,10.0,729,0.992,19335.5,True,True,123
ER,24,10,5.0,9.0,743,0.992,20571.0,True,True,160
ER,25,1,7.0,11.0,737,0.989,19753.5,True,True,145
ER,25,5,5.0,9.0,732,0.994,19704.5,True,True,151
ER,25,10,5.0,9.0,731,0.991,19485.0,True,True,142
ER,26,1,8.0,11.0,728,0.992,19742.5,True,True,193
ER,26,5,6.0,10.0,715,0.99,19475.5,True,True,134
ER,26,10,4.0,8.0,708,0.988,20107.0,True,True,154
ER,27,1,10.0,14.0,718,0.989,19966.5,True,True,171
ER,27,5,7.0,11.0,715,0.992,20354.5,True,True,158
ER,27,10,4.0,8.0,737,0.99,19841.0,True,True,153
ER,28,1,10.0,14.0,749,0.988,20744.5,True,True,160
ER,28,5,8.0,12.0,753,0.993,21195.5,True,True,241
ER,28,10,6.0,10.0,697,0.995,19339.0,True,True,132
ER,29,1,11.0,15.0,719,0.989,19893.5,True,True,164
ER,29,5,9.0,13.0,732,0.99,20028.5,True,True,168
ER,29,10,5.0,10.0,694,0.991,20081.0,True,True,179
ER,30,1,11.0,16.0,741,0.991,20471.5,True,True,144
ER,30,5,6.0,10.0,762,0.996,21086.5,True,True,162
ER,30,10,4.0,8.0,726,0.992,20919.0,True,True,142
ER,31,1,7.0,11.0,718,0.991,19045.5,True,True,149
ER,31,5,5.0,9.0,712,0.988,18413.5,True,True,143
ER,31,10,5.0,9.0,708,0.987,18812.0,True,True,145
ER,32,1,8.0,12.0,722,0.993,20368.5,True,True,208
ER,32,5,6.0,10.0,732,0.995,20548.5,True,True,143
ER,32,10,4.0,8.0,700,0.992,19243.0,True,True,168
ER,33,1,11.0,15.0,702,0.989,19709.5,True,True,163
ER,33,5,6.0,11.0,737,0.991,20122.5,True,True,196
ER,33,10,5.0,9.0,721,0.993,19332.0,True,True,147
ER,34,1,8.0,12.0,739,0.995,20146.5,True,True,221
ER,34,5,5.0,9.0,727,0.99,20089.5,True,True,202
ER,34,10,5.0,10.0,706,0.992,20411.0,True,True,159
ER,35,1,,,1,0.001,1.5,False,False,3
ER,35,5,6.0,10.0,743,0.993,21046.5,True,True,174
ER,35,10,4.0,8.0,730,0.993,20919.0,True,True,164
ER,36,1,8.0,12.0,729,0.994,20457.5,True,True,136
ER,36,5,6.0,10.0,715,0.991,20417.5,True,True,148
ER,36,10,5.0,9.0,726,0.988,19568.0,True,True,171
ER,37,1,8.0,12.0,710,0.994,19330.5,True,True,148
ER,37,5,6.0,10.0,745,0.987,19459.5,True,True,145
ER,37,10,5.0,9.0,734,0.99,19988.0,True,True,145
ER,38,1,8.0,12.0,737,0.993,19915.5,True,True,135
ER,38,5,5.0,9.0,736,0.991,19868.5,True,True,122
ER,38,10,4.0,9.0,723,0.987,19590.0,True,True,170
ER,39,1,9.0,13.0,721,0.986,19564.5,True,True,144
ER,39,5,6.0,10.0,732,0.99,19770.5,True,True,153
ER,39,10,4.0,8.0,725,0.987,20519.0,True,True,171
ER,40,1,10.0,14.0,707,0.989,19540.5,True,True,130
ER,40,5,7.0,11.0,729,0.995,19976.5,True,True,136
ER,40,10,5.0,9.0,737,0.994,20092.0,True,True,127
ER,41,1,11.0,15.0,737,0.995,19011.5,True,True,180
ER,41,5,6.0,10.0,736,0.989,18957.5,True,True,194
ER,41,10,4.0,8.0,735,0.993,20562.0,True,True,150
ER,42,1,14.0,18.0,728,0.991,19616.5,True,True,141
ER,42,5,5.0,10.0,725,0.992,20691.5,True,True,203
ER,42,10,5.0,9.0,737,0.993,19753.0,True,True,143
ER,43,1,10.0,14.0,758,0.986,19258.5,True,True,145
ER,43,5,6.0,10.0,719,0.99,18918.5,True,True,135
ER,43,10,5.0,9.0,704,0.989,19444.0,True,True,170
ER,44,1,9.0,14.0,711,0.989,19161.5,True,True,133
ER,44,5,5.0,9.0,709,0.994,19471.5,True,True,164
ER,44,10,4.0,8.0,726,0.991,19843.0,True,True,131
ER,45,1,11.0,16.0,739,0.995,19301.5,True,True,161
ER,45,5,6.0,10.0,714,0.993,19215.5,True,True,138
ER,45,10,5.0,9.0,723,0.991,20372.0,True,True,153
ER,46,1,11.0,15.0,709,0.988,20225.5,True,True,131
ER,46,5,6.0,10.0,718,0.987,20217.5,True,True,145
ER,46,10,4.0,9.0,694,0.987,18650.0,True,True,137
ER,47,1,10.0,14.0,712,0.989,19092.5,True,True,180
ER,47,5,6.0,10.0,729,0.989,18957.5,True,True,116
ER,47,10,4.0,8.0,759,0.991,20668.0,True,True,185
ER,48,1,12.0,16.0,730,0.986,19858.5,True,True,184
ER,48,5,5.0,10.0,728,0.988,19803.5,True,True,207
ER,48,10,4.0,8.0,754,0.994,21404.0,True,True,134
ER,49,1,10.0,14.0,749,0.993,20107.5,True,True,264
ER,49,5,7.0,11.0,698,0.989,19256.5,True,True,170
ER,49,10,4.0,9.0,756,0.989,20251.0,True,True,156
WS,0,1,22.0,30.0,649,1.0,20476.5,True,True,213
WS,0,5,11.0,18.0,647,1.0,20865.5,True,True,140
WS,0,10,6.0,14.0,629,0.999,19410.0,True,True,162
WS,1,1,23.0,31.0,657,1.0,19606.5,True,True,156
WS,1,5,7.0,16.0,642,1.0,19983.5,True,True,159
WS,1,10,6.0,13.0,660,0.997,19648.0,True,True,148
WS,2,1,13.0,22.0,682,1.0,20937.5,True,True,146
WS,2,5,7.0,15.0,642,0.999,20081.5,True,True,150
WS,2,10,6.0,14.0,673,1.0,19756.0,True,True,142
WS,3,1,14.0,22.0,669,1.0,20313.5,True,True,175
WS,3,5,10.0,18.0,665,1.0,19504.5,True,True,147
WS,3,10,6.0,14.0,650,1.0,20488.0,True,True,156
WS,4,1,17.0,25.0,662,1.0,20111.5,True,True,206
WS,4,5,8.0,17.0,650,1.0,20575.5,True,True,176
WS,4,10,7.0,15.0,669,1.0,20842.0,True,True,147
WS,5,1,18.0,27.0,630,1.0,19044.5,True,True,159
WS,5,5,8.0,15.0,664,1.0,19260.5,True,True,187
WS,5,10,6.0,14.0,668,1.0,20126.0,True,True,120
WS,6,1,19.0,28.0,641,0.999,19659.5,True,True,167
WS,6,5,9.0,17.0,671,1.0,19696.5,True,True,134
WS,6,10,7.0,16.0,610,0.999,19144.0,True,True,140
WS,7,1,16.0,25.0,658,1.0,19371.5,True,True,165
WS,7,5,8.0,17.0,640,1.0,19448.5,True,True,175
WS,7,10,5.0,13.0,626,1.0,19848.0,True,True,179
WS,8,1,14.0,23.0,584,1.0,18437.5,True,True,189
WS,8,5,8.0,16.0,607,0.999,18376.5,True,True,143
WS,8,10,6.0,14.0,633,1.0,19676.0,True,True,173
WS,9,1,20.0,30.0,601,1.0,20114.5,True,True,222
WS,9,5,9.0,18.0,644,1.0,20485.5,True,True,193
WS,9,10,7.0,16.0,634,0.999,19772.0,True,True,161
WS,10,1,13.0,23.0,624,0.999,20439.5,True,True,172
WS,10,5,9.0,19.0,621,1.0,20381.5,True,True,175
WS,10,10,7.0,14.0,687,1.0,20285.0,True,True,139
WS,11,1,16.0,26.0,630,1.0,20152.5,True,True,211
WS,11,5,9.0,18.0,621,1.0,19980.5,True,True,156
WS,11,10,6.0,16.0,629,1.0,19055.0,True,True,162
WS,12,1,17.0,25.0,622,0.999,20802.5,True,True,177
WS,12,5,7.0,16.0,651,1.0,21138.5,True,True,133
WS,12,10,8.0,17.0,629,1.0,20997.0,True,True,169
WS,13,1,12.0,22.0,603,1.0,20016.5,True,True,215
WS,13,5,7.0,18.0,634,1.0,20464.5,True,True,167
WS,13,10,5.0,13.0,660,1.0,19753.0,True,True,136
WS,14,1,16.0,26.0,601,1.0,19203.5,True,True,149
WS,14,5,9.0,19.0,593,1.0,18756.5,True,True,145
WS,14,10,6.0,15.0,652,1.0,19546.0,True,True,155
WS,15,1,21.0,31.0,624,1.0,19993.5,True,True,173
WS,15,5,9.0,19.0,628,1.0,19675.5,True,True,165
WS,15,10,6.0,17.0,644,1.0,19553.0,True,True,153
WS,16,1,15.0,25.0,622,1.0,19308.5,True,True,152
WS,16,5,6.0,14.0,656,1.0,20295.5,True,True,143
WS,16,10,6.0,15.0,611,1.0,18710.0,True,True,152
WS,17,1,15.0,25.0,606,0.999,19336.5,True,True,146
WS,17,5,10.0,20.0,626,1.0,19421.5,True,True,161
WS,17,10,7.0,15.0,647,1.0,19598.0,True,True,146
WS,18,1,15.0,24.0,651,1.0,19753.5,True,True,137
WS,18,5,8.0,17.0,655,1.0,19623.5,True,True,120
WS,18,10,5.0,13.0,654,1.0,20109.0,True,True,172
WS,19,1,20.0,30.0,616,1.0,19884.5,True,True,148
WS,19,5,9.0,19.0,663,1.0,20337.5,True,True,174
WS,19,10,7.0,15.0,651,1.0,20015.0,True,True,148
WS,20,1,13.0,22.0,619,1.0,20343.5,True,True,168
WS,20,5,8.0,16.0,636,0.999,19459.5,True,True,153
WS,20,10,5.0,13.0,646,1.0,20309.0,True,True,296
WS,21,1,17.0,24.0,698,1.0,19996.5,True,True,162
WS,21,5,9.0,18.0,662,1.0,19463.5,True,True,161
WS,21,10,5.0,13.0,662,0.999,19538.0,True,True,138
WS,22,1,20.0,30.0,614,1.0,21072.5,True,True,183
WS,22,5,12.0,22.0,668,1.0,21769.5,True,True,148
WS,22,10,5.0,15.0,614,1.0,19964.0,True,True,148
WS,23,1,22.0,31.0,642,1.0,19946.5,True,True,169
WS,23,5,11.0,20.0,622,1.0,19630.5,True,True,154
WS,23,10,6.0,15.0,640,1.0,20146.0,True,True,148
WS,24,1,14.0,23.0,631,1.0,20868.5,True,True,209
WS,24,5,8.0,18.0,647,0.999,20801.5,True,True,141
WS,24,10,6.0,15.0,628,1.0,19127.0,True,True,150
WS,25,1,15.0,25.0,660,0.999,20522.5,True,True,178
WS,25,5,7.0,16.0,662,1.0,20585.5,True,True,178
WS,25,10,6.0,15.0,670,1.0,19527.0,True,True,140
WS,26,1,12.0,21.0,670,1.0,19745.5,True,True,173
WS,26,5,8.0,17.0,672,1.0,19580.5,True,True,198
WS,26,10,6.0,15.0,630,1.0,19946.0,True,True,201
WS,27,1,17.0,28.0,614,0.999,19783.5,True,True,136
WS,27,5,8.0,17.0,634,0.997,19924.5,True,True,165
WS,27,10,6.0,16.0,627,1.0,19896.0,True,True,150
WS,28,1,16.0,25.0,664,1.0,20219.5,True,True,160
WS,28,5,7.0,16.0,645,1.0,20095.5,True,True,172
WS,28,10,7.0,14.0,653,1.0,20130.0,True,True,144
WS,29,1,17.0,27.0,637,1.0,19839.5,True,True,209
WS,29,5,9.0,19.0,647,0.999,19837.5,True,True,181
WS,29,10,7.0,15.0,653,1.0,20304.0,True,True,149
WS,30,1,,,1,0.001,3.5,False,False,5
WS,30,5,8.0,15.0,669,1.0,20574.5,True,True,189
WS,30,10,6.0,14.0,630,0.999,19828.0,True,True,161
WS,31,1,16.0,25.0,641,1.0,20393.5,True,True,143
WS,31,5,9.0,19.0,602,1.0,19738.5,True,True,152
WS,31,10,6.0,15.0,628,1.0,19290.0,True,True,164
WS,32,1,14.0,24.0,642,1.0,19211.5,True,True,194
WS,32,5,7.0,16.0,629,1.0,19534.5,True,True,181
WS,32,10,8.0,18.0,598,0.998,18956.0,True,True,167
WS,33,1,13.0,21.0,636,0.999,19564.5,True,True,161
WS,33,5,8.0,16.0,693,1.0,20507.5,True,True,184
WS,33,10,6.0,16.0,627,0.999,20068.0,True,True,161
WS,34,1,18.0,27.0,628,1.0,20613.5,True,True,189
WS,34,5,9.0,18.0,618,1.0,20932.5,True,True,171
WS,34,10,6.0,14.0,651,1.0,19723.0,True,True,188
WS,35,1,16.0,24.0,629,1.0,18446.5,True,True,207
WS,35,5,9.0,18.0,651,1.0,18639.5,True,True,206
WS,35,10,5.0,13.0,639,1.0,19577.0,True,True,136
WS,36,1,12.0,22.0,632,1.0,19414.5,True,True,161
WS,36,5,7.0,15.0,682,1.0,19502.5,True,True,140
WS,36,10,6.0,14.0,671,0.998,19266.0,True,True,143
WS,37,1,14.0,24.0,623,0.999,19377.5,True,True,196
WS,37,5,9.0,18.0,628,1.0,19398.5,True,True,158
WS,37,10,6.0,16.0,616,1.0,20014.0,True,True,131
WS,38,1,15.0,24.0,651,1.0,20688.5,True,True,181
WS,38,5,10.0,18.0,614,1.0,19930.5,True,True,162
WS,38,10,5.0,13.0,699,1.0,20737.0,True,True,242
WS,39,1,15.0,25.0,635,1.0,19578.5,True,True,244
WS,39,5,7.0,15.0,662,1.0,19771.5,True,True,150
WS,39,10,6.0,15.0,672,1.0,19533.0,True,True,145
WS,40,1,16.0,25.0,634,0.997,19602.5,True,True,175
WS,40,5,11.0,22.0,602,0.999,19751.5,True,True,195
WS,40,10,6.0,14.0,673,1.0,20173.0,True,True,149
WS,41,1,12.0,22.0,635,1.0,19403.5,True,True,189
WS,41,5,7.0,15.0,690,0.998,19829.5,True,True,142
WS,41,10,6.0,15.0,652,1.0,20890.0,True,True,177
WS,42,1,27.0,36.0,618,1.0,20153.5,True,True,166
WS,42,5,8.0,16.0,642,1.0,20382.5,True,True,188
WS,42,10,6.0,14.0,677,1.0,21322.0,True,True,184
WS,43,1,17.0,26.0,649,0.999,20145.5,True,True,165
WS,43,5,7.0,15.0,647,0.999,20304.5,True,True,173
WS,43,10,5.0,13.0,659,1.0,20006.0,True,True,167
WS,44,1,13.0,23.0,632,0.998,19908.5,True,True,161
WS,44,5,9.0,19.0,638,1.0,19937.5,True,True,172
WS,44,10,6.0,16.0,647,0.999,19444.0,True,True,170
WS,45,1,17.0,26.0,646,0.999,20550.5,True,True,173
WS,45,5,9.0,18.0,662,1.0,20553.5,True,True,209
WS,45,10,6.0,13.0,653,1.0,19123.0,True,True,155
WS,46,1,16.0,26.0,623,1.0,20045.5,True,True,147
WS,46,5,8.0,16.0,623,1.0,20200.5,True,True,148
WS,46,10,6.0,14.0,674,0.997,19816.0,True,True,185
WS,47,1,18.0,28.0,625,1.0,21247.5,True,True,192
WS,47,5,10.0,20.0,603,1.0,20632.5,True,True,206
WS,47,10,5.0,14.0,646,1.0,20548.0,True,True,173
WS,48,1,22.0,32.0,629,1.0,20074.5,True,True,215
WS,48,5,8.0,15.0,656,1.0,20417.5,True,True,173
WS,48,10,7.0,15.0,682,1.0,20221.0,True,True,154
WS,49,1,20.0,32.0,609,1.0,19906.5,True,True,202
WS,49,5,9.0,18.0,673,1.0,20347.5,True,True,146
WS,49,10,6.0,15.0,663,0.999,21021.0,True,True,154
